site,lat,lon,HR_NAME
11148900,35.78857918,-121.0938048,Central Coast
11149400,35.76135678,-120.855458,Central Coast
11149500,35.7833006,-120.7910099,Central Coast
11149650,36.0194116,-121.2385359,Central Coast
11149700,35.9124673,-121.131585,Central Coast
11149900,35.89663404,-121.0882491,Central Coast
11150000,35.86524529,-120.992688,Central Coast
11150500,35.9302434,-120.8687915,Central Coast
11150800,36.17774209,-120.7968438,Central Coast
11151000,36.2596872,-121.0190779,Central Coast
11151300,36.26802087,-121.066303,Central Coast
11151500,36.20968825,-121.1190839,Central Coast
11151700,36.411076,-121.3193738,Central Coast
11151870,36.23746164,-121.4816027,Central Coast
11152000,36.28052076,-121.3227063,Central Coast
11152050,36.39968708,-121.3240962,Central Coast
11152300,36.55357267,-121.5493856,Central Coast
11152500,36.631071,-121.672446,Central Coast
11152540,36.5832937,-121.714947,Central Coast
11152570,36.6924599,-121.568832,Central Coast
11152600,36.75579196,-121.6105005,Central Coast
11152650,36.7049586,-121.7049475,Central Coast
11152900,37.0499451,-121.327431,Central Coast
11153000,36.98,-121.3802778,Central Coast
11153040,36.95994927,-121.4179906,Central Coast
11153470,37.1483333,-121.7683333,Central Coast
11153500,37.11439105,-121.6905028,Central Coast
11153650,36.98744858,-121.5271622,Central Coast
11153700,36.9482836,-121.5118842,Central Coast
11153790,37.0902258,-121.8046744,Central Coast
11153800,37.0832816,-121.7852292,Central Coast
11153900,37.0927254,-121.7182818,Central Coast
11154000,37.06661475,-121.6927252,Central Coast
11154100,37.0041163,-121.6671686,Central Coast
11154200,36.99217114,-121.5735532,Central Coast
11154500,36.93328449,-121.5343853,Central Coast
11154700,36.36079387,-120.7607315,Central Coast
11156000,36.3894063,-120.8960162,Central Coast
11156450,36.59023988,-121.196868,Central Coast
11156500,36.60940609,-121.2029797,Central Coast
11156700,36.6944049,-121.3107646,Central Coast
11157500,36.76579177,-121.2996532,Central Coast
11158500,36.78801314,-121.3707678,Central Coast
11158600,36.85189909,-121.4299368,Central Coast
11158900,36.90773034,-121.5854987,Central Coast
11159000,36.9002307,-121.5977215,Central Coast
11159150,37.00550594,-121.8080085,Central Coast
11159200,36.9393968,-121.7705065,Central Coast
11159400,36.97689577,-121.7763403,Central Coast
11159500,36.9056111,-121.7518889,Central Coast
11159690,37.00161665,-121.9060688,Central Coast
11159700,36.9763396,-121.9024573,Central Coast
11159800,37.05133748,-121.9391252,Central Coast
11159940,37.03383789,-121.9441257,Central Coast
11160000,36.9913389,-121.9557933,Central Coast
11160020,37.20661136,-122.1449644,Central Coast
11160060,37.12772447,-122.1169089,Central Coast
11160070,37.12661339,-122.1227425,Central Coast
11160200,37.09494746,-122.07413,Central Coast
11160300,37.08605874,-122.0469069,Central Coast
11160430,37.0552261,-122.0413516,Central Coast
11160500,37.0443931,-122.072464,Central Coast
11161000,36.9907832,-122.0319076,Central Coast
11161500,36.9860611,-122.0144069,Central Coast
11161570,36.99856108,-122.1213554,Central Coast
11161590,37.02550486,-122.1310776,Central Coast
11161800,37.05522644,-122.18219,Central Coast
11161900,37.06411519,-122.2294139,Central Coast
11162000,37.06078194,-122.2260805,Central Coast
9423350,35.24498915,-115.2988759,Colorado River
9424050,34.5083432,-114.6035739,Colorado River
9424150,34.31612564,-114.1571702,Colorado River
9424170,34.30001466,-114.1632813,Colorado River
9427520,34.29557035,-114.140225,Colorado River
9427600,34.2916814,-114.1577255,Colorado River
9427800,34.27918159,-114.1480029,Colorado River
9428200,34.25418165,-114.1980043,Colorado River
9428530,34.1652933,-114.3730098,Colorado River
9429000,33.7319659,-114.5118999,Colorado River
9429003,33.7316881,-114.5127333,Colorado River
9429010,33.7319659,-114.5118999,Colorado River
9429100,33.71946626,-114.4980105,Colorado River
9429130,33.6839115,-114.5377335,Colorado River
9429155,33.57474765,-114.5463436,Colorado River
9429160,33.53502644,-114.5605103,Colorado River
9429170,33.50919375,-114.5774549,Colorado River
9429180,33.4916942,-114.6035666,Colorado River
9429190,33.43391809,-114.6294005,Colorado River
9429200,33.42780713,-114.6732907,Colorado River
9429210,33.39697468,-114.72357,Colorado River
9429220,33.36142018,-114.7230144,Colorado River
9429225,33.3564203,-114.7185698,Colorado River
9429230,33.3511427,-114.7141253,Colorado River
9429490,32.8849361,-114.468111,Colorado River
9429500,32.86758333,-114.472111,Colorado River
9429600,32.8122666,-114.5149494,Colorado River
9521100,32.73171354,-114.6327306,Colorado River
9523000,32.8714319,-114.480504,Colorado River
9523200,32.8180998,-114.5146716,Colorado River
9523202,32.8180998,-114.5146716,Colorado River
9523400,32.82448865,-114.5418948,Colorado River
9523600,32.80865585,-114.5882852,Colorado River
9523800,32.79365629,-114.6146748,Colorado River
9523900,32.77726787,-114.6357865,Colorado River
